# Gene IDs passing expressed in right lobe of liver (UBERON:0001114) filter
# Total: 55
ENSG00000253797	ENST00000521776	UTP14C	9724	NM_021645	NP_067677
ENSG00000101405	ENST00000217386	OXT	5020	NM_000915	NP_000906
ENSG00000177613	ENST00000331173	CSTF2T	23283	NM_015235	NP_056050
ENSG00000124107	ENST00000338380	SLPI	6590	NM_003064	NP_003055
ENSG00000175311	ENST00000311620	ANKS4B	257629	NM_145865	NP_665872
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000187713	ENST00000343666	TMEM203	94107	NM_053045	NP_444273
ENSG00000188021	ENST00000338222	UBQLN2	29978	NM_013444	NP_038472
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000188483	ENST00000372491	IER5L	389792	NM_203434	NP_982258
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000223496	ENST00000435634	EXOSC6	118460	NM_058219	NP_478126
ENSG00000198142	ENST00000356454	SOWAHC	65124	NM_023016	NP_075392
ENSG00000221821	ENST00000408925	C6orf226	441150	NM_001008739	NP_001008739
ENSG00000278463	ENST00000615868	H2AC4	8335	NM_003513	NP_003504
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000204439	ENST00000375911	C6orf47	57827	NM_021184	NP_067007
ENSG00000124659	ENST00000372876	TBCC	6903	NM_003192	NP_003183
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000182636	ENST00000649030	NDN	4692	NM_002487	NP_002478
ENSG00000116903	ENST00000366645	EXOC8	149371	NM_175876	NP_787072
ENSG00000175283	ENST00000372586	DOLK	22845	NM_014908	NP_055723
ENSG00000262664	ENST00000572195	OVCA2	124641	NM_080822	NP_543012
ENSG00000132703	ENST00000255040	APCS	325	NM_001639	NP_001630
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000275379	ENST00000616365	H3C11	8354	NM_003533	NP_003524
ENSG00000171223	ENST00000302754	JUNB	3726	NM_002229	NP_002220
ENSG00000169252	ENST00000305988	ADRB2	154	NM_000024	NP_000015
ENSG00000285723	ENST00000649912		128706665	NM_001394148	NP_001381077
ENSG00000125817	ENST00000379751	CENPB	1059	NM_001810	NP_001801
ENSG00000186222	ENST00000320776	BLOC1S4	55330	NM_018366	NP_060836
ENSG00000253598	ENST00000518568	SLC10A5	347051	NM_001010893	NP_001010893
ENSG00000276368	ENST00000333151	H2AC14	8331	NM_021066	NP_066544
ENSG00000221869	ENST00000408965	CEBPD	1052	NM_005195	NP_005186
ENSG00000274997	ENST00000377459	H2AC12	85235	NM_080596	NP_542163
ENSG00000179041	ENST00000320270	RRS1	23212	NM_015169	NP_055984
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000170468	ENST00000304061	RIOX1	79697	NM_024644	NP_078920
ENSG00000168282	ENST00000305386	MGAT2	4247	NM_002408	NP_002399
ENSG00000205138	ENST00000378887	SDHAF1	644096	NM_001042631	NP_001036096
ENSG00000288570	ENST00000674075		128092248	NM_001414901	NP_001401830
ENSG00000197417	ENST00000225519	SHPK	23729	NM_013276	NP_037408
ENSG00000183598	ENST00000331491	H3C13	653604	NM_001123375	NP_001116847
ENSG00000184270	ENST00000331128	H2AC21	317772	NM_175065	NP_778235
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NM_001355243	NP_001342172
ENSG00000284976	ENST00000645271		122513141	NM_001395982	NP_001382911
ENSG00000204388	ENST00000375650	HSPA1B	3304	NM_005346	NP_005337
ENSG00000179862	ENST00000372638	CITED4	163732	NM_133467	NP_597724
ENSG00000288623	ENST00000675818		128071547	NM_001414895	NP_001401824
ENSG00000259956	ENST00000563281	RBM15B	29890	NM_013286	NP_037418
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000215695	ENST00000345034	RSC1A1	6248	NM_006511	NP_006502
